Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ, LinAccX, LinAccY, LinAccZ, GRV1, GRV2, GRV3 ,GRV4 ,ROT1, ROT2, ROT3, ROT4, Pressure, Temperature
509948, -2.38671875, -6.52734375, 7.02734375, -0.0390625, 0.04296875, 0.04296875, 18.8125, 19.6875, -25.1875, 0.01953125, 0.13671875, 0.02734375, -1.10888671875, -1.059814453125, 3.27978515625, 1.7001953125, -0.316162109375, -0.22357177734375, 0.756103515625, 0.52764892578125, 1015.93408203125, 31.14190673828125
510158, -2.578125, -6.60546875, 7.02734375, 0.005859375, -0.005859375, 0.08984375, 19.25, 19.6875, -25.9375, -0.0703125, 0.05859375, 0.05859375, -1.1533203125, -1.009765625, 3.22119140625, 1.809326171875, -0.31793212890625, -0.2222900390625, 0.757080078125, 0.52569580078125, 1015.93408203125, 31.14190673828125
510257, -2.6953125, -6.6796875, 6.98828125, 0.060546875, 0.001953125, -0.021484375, 18.375, 18.75, -26.0, 0.11328125, 0.20703125, -0.10546875, -1.1611328125, -1.004150390625, 3.220947265625, 1.807861328125, -0.31829833984375, -0.221923828125, 0.758056640625, 0.52423095703125, 1015.93408203125, 31.14190673828125
510358, -2.46484375, -6.796875, 7.1796875, -0.125, -0.14453125, -0.099609375, 17.3125, 20.625, -26.0625, 0.1640625, 0.265625, -0.1328125, -1.16650390625, -1.0009765625, 3.226806640625, 1.795654296875, -0.31646728515625, -0.2264404296875, 0.75653076171875, 0.52557373046875, 1015.93408203125, 31.14190673828125
510458, -2.3125, -6.375, 6.8359375, 0.08984375, 0.01953125, 0.013671875, 17.9375, 18.8125, -25.25, -0.02734375, -0.12890625, 0.07421875, -1.165771484375, -1.008056640625, 3.230224609375, 1.7861328125, -0.31640625, -0.22613525390625, 0.75653076171875, 0.5257568359375, 1015.93408203125, 31.14190673828125
510558, -2.54296875, -6.87109375, 7.0625, -0.037109375, -0.06640625, -0.013671875, 17.4375, 19.4375, -25.6875, -0.12890625, -0.18359375, 0.09375, -1.169677734375, -1.004150390625, 3.22216796875, 1.800537109375, -0.316650390625, -0.223876953125, 0.75726318359375, 0.5255126953125, 1015.93408203125, 31.14190673828125
510729, -2.46484375, -6.7578125, 7.0625, -0.08203125, -0.0390625, -0.0390625, 17.9375, 19.6875, -25.25, 0.1171875, 0.19140625, 0.00390625, -1.16748046875, -1.005126953125, 3.228515625, 1.789794921875, -0.3167724609375, -0.2232666015625, 0.7567138671875, 0.5264892578125, 1015.92138671875, 31.129364013671875
511008, -2.38671875, -6.6796875, 7.02734375, 0.068359375, 0.03125, 0.029296875, 17.75, 19.6875, -27.1875, 0.07421875, -0.0234375, 0.03515625, -1.16943359375, -1.00439453125, 3.225341796875, 1.79443359375, -0.31732177734375, -0.22113037109375, 0.7578125, 0.5255126953125, 1015.92138671875, 31.129364013671875
511108, -2.578125, -6.640625, 7.02734375, -0.060546875, 0.05078125, 0.123046875, 19.3125, 18.75, -25.9375, -0.0625, -0.0078125, 0.04296875, -1.17333984375, -0.999267578125, 3.21875, 1.806640625, -0.3189697265625, -0.22064208984375, 0.76043701171875, 0.5208740234375, 1015.92138671875, 31.129364013671875
511211, -2.65625, -6.60546875, 6.94921875, -0.142578125, -0.09765625, -0.02734375, 19.6875, 18.4375, -26.6875, 0.0234375, 0.41015625, -0.1484375, -1.188232421875, -0.98193359375, 3.208984375, 1.823974609375, -0.32086181640625, -0.2183837890625, 0.76251220703125, 0.51763916015625, 1015.92138671875, 31.129364013671875
