Time,i,j,k,w,Pressure,Temperature,Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z
113698.0,0.6651611328125,-0.51434326171875,0.4296875,0.3292236328125,1005.852294921875,23.762664794921875,8.59375,-0.05078125,-3.92578125,0.0,0.013671875,0.001953125,-194.625,-22.875,76.625,
114024.0,0.6650390625,-0.51434326171875,0.42974853515625,0.329345703125,1005.850341796875,23.76727294921875,8.6328125,-0.05078125,-3.92578125,0.0,-0.01171875,0.0,-194.25,-23.125,76.0625,
114084.0,0.66510009765625,-0.514404296875,0.4296875,0.32928466796875,1005.846435546875,23.76495361328125,8.59375,-0.01171875,-3.92578125,-0.001953125,-0.0078125,0.001953125,-193.6875,-23.3125,76.125,
114117.0,0.66510009765625,-0.514404296875,0.4296875,0.32928466796875,1005.84619140625,23.76495361328125,8.59375,-0.05078125,-3.92578125,0.001953125,0.009765625,0.0,-195.0,-23.0625,75.3125,
114176.0,0.66510009765625,-0.51434326171875,0.4296875,0.32928466796875,1005.848388671875,23.7730712890625,8.59375,-0.05078125,-3.92578125,0.001953125,-0.001953125,0.0,-195.1875,-22.4375,76.5,
114236.0,0.6650390625,-0.51434326171875,0.4298095703125,0.329345703125,1005.854248046875,23.76611328125,8.59375,-0.05078125,-3.890625,0.001953125,-0.013671875,0.0,-194.25,-23.125,76.0625,
114476.0,0.6650390625,-0.51434326171875,0.42974853515625,0.329345703125,1005.830810546875,23.76959228515625,8.59375,-0.05078125,-3.96484375,0.001953125,0.05078125,0.001953125,-193.9375,-22.6875,76.9375,
114562.0,0.66510009765625,-0.514404296875,0.42962646484375,0.32928466796875,1005.850341796875,23.76727294921875,8.59375,-0.05078125,-3.92578125,0.00390625,-0.015625,0.001953125,-195.5,-22.875,75.5625,
114606.0,0.66497802734375,-0.51434326171875,0.4298095703125,0.329345703125,1005.849609375,23.761505126953125,8.6328125,-0.05078125,-3.8515625,-0.001953125,-0.03515625,-0.001953125,-195.5,-22.875,75.5625,
114891.0,0.66510009765625,-0.5145263671875,0.4295654296875,0.3292236328125,1005.844482421875,23.776519775390625,8.59375,-0.01171875,-4.04296875,-0.001953125,0.041015625,0.0,-193.3125,-23.125,77.125,
114927.0,0.6651611328125,-0.51458740234375,0.429443359375,0.32916259765625,1005.844970703125,23.779998779296875,8.59375,-0.05078125,-3.92578125,0.0,-0.044921875,0.0,-193.125,-22.875,76.25,
114957.0,0.66510009765625,-0.51458740234375,0.429443359375,0.32916259765625,1005.84619140625,23.779998779296875,8.5546875,-0.01171875,-4.00390625,0.0,0.119140625,0.001953125,-195.625,-22.625,75.1875,
114987.0,0.66473388671875,-0.5142822265625,0.43011474609375,0.32965087890625,1005.845947265625,23.778839111328125,8.6328125,-0.05078125,-3.734375,-0.001953125,-0.111328125,-0.0078125,-195.0,-22.875,75.3125,
115017.0,0.66522216796875,-0.5146484375,0.42926025390625,0.3291015625,1005.845947265625,23.778839111328125,8.59375,-0.01171875,-4.00390625,0.001953125,0.0390625,0.001953125,-194.5625,-22.8125,75.0625,
115047.0,0.66497802734375,-0.51446533203125,0.42962646484375,0.329345703125,1005.84619140625,23.781158447265625,8.59375,-0.08984375,-3.890625,0.00390625,0.009765625,0.001953125,-195.1875,-23.0625,75.0625,
115077.0,0.66497802734375,-0.51446533203125,0.4296875,0.329345703125,1005.850341796875,23.781158447265625,8.6328125,0.02734375,-3.92578125,0.001953125,-0.01171875,-0.001953125,-195.125,-23.0625,75.0,
115251.0,0.6649169921875,-0.514404296875,0.4298095703125,0.3294677734375,1005.849609375,23.776519775390625,8.5546875,-0.05078125,-4.00390625,-0.001953125,-0.07421875,-0.005859375,-194.6875,-22.875,76.3125,
115526.0,0.66473388671875,-0.51434326171875,0.42999267578125,0.32965087890625,1005.841796875,23.756866455078125,8.6328125,-0.05078125,-3.8125,-0.001953125,-0.037109375,0.0,-194.0,-22.6875,76.6875,
115794.0,0.6649169921875,-0.514404296875,0.4298095703125,0.32952880859375,1005.845458984375,23.775360107421875,8.59375,-0.01171875,-3.92578125,0.0,-0.013671875,0.0,-192.75,-23.375,77.25,
115855.0,0.6646728515625,-0.5142822265625,0.43011474609375,0.3297119140625,1005.849365234375,23.779998779296875,8.6328125,-0.01171875,-3.7734375,-0.005859375,-0.0703125,-0.00390625,-194.25,-22.875,76.0625,
115886.0,0.66510009765625,-0.51458740234375,0.429443359375,0.3292236328125,1005.8408203125,23.779998779296875,8.59375,-0.05078125,-4.00390625,0.001953125,0.01171875,0.0,-193.4375,-23.0625,75.3125,
115916.0,0.6649169921875,-0.51446533203125,0.42974853515625,0.3294677734375,1005.841064453125,23.781158447265625,8.5546875,-0.08984375,-3.890625,0.0,0.033203125,0.001953125,-194.5,-22.5625,73.5625,
115946.0,0.6649169921875,-0.51446533203125,0.42974853515625,0.3294677734375,1005.85205078125,23.781158447265625,8.74609375,0.02734375,-3.96484375,-0.001953125,-0.029296875,-0.00390625,-194.5,-22.5625,73.5625,
116121.0,0.66412353515625,-0.513916015625,0.43096923828125,0.33026123046875,1005.84033203125,23.778839111328125,8.59375,0.06640625,-3.92578125,0.001953125,0.025390625,0.0,-195.25,-22.875,76.5625,
116186.0,0.6646728515625,-0.5142822265625,0.43017578125,0.3297119140625,1005.8427734375,23.77423095703125,8.671875,0.02734375,-3.96484375,0.0,-0.041015625,0.0,-193.9375,-23.0625,75.5625,
116345.0,0.6646728515625,-0.514404296875,0.4300537109375,0.3297119140625,1005.85595703125,23.777679443359375,8.671875,0.1015625,-3.8125,0.0,-0.025390625,0.0,-194.625,-22.4375,76.5625,
116422.0,0.6650390625,-0.5146484375,0.42950439453125,0.3292236328125,1005.841552734375,23.775360107421875,8.59375,-0.05078125,-3.96484375,0.0,0.08203125,0.0,-193.625,-23.125,76.5,
